"word","n"
"friday",492
"space",492
"basically",491
"garden",490
"taking",489
"wow",488
"woman",486
"level",484
"read",482
"stick",482
"note",481
"chance",480
"unique",478
"wah",476
"oily",470
"dragon",467
"sign",465
"expecting",462
"compared",461
"forward",461
"dark",458
"deep",455
"feeling",455
"sad",455
"item",454
"noticed",452
"job",451
"soggy",450
"barely",448
"bun",448
"date",447
"golden",447
"months",447
"simply",447
"sort",444
"worse",444
"combination",443
"interior",443
"12",441
"change",441
"due",441
"immediately",441
"gross",440
"9",439
"visited",438
"card",436
"closed",435
"piece",435
"carry",434
"list",433
"opinion",433
"consistently",432
"pricey",431
"mix",429
"tiny",429
"cost",428
"lived",426
"tempura",426
"teriyaki",426
"issue",425
"idea",423
"located",421
"similar",421
"scallion",419
"store",419
"bag",418
"write",418
"miso",417
"braised",416
"overly",416
"thin",416
"cup",415
"included",414
"stay",414
"addition",412
"basil",409
"easily",409
"establishment",408
"prefer",408
"rating",407
"supposed",407
"crunchy",406
"disgusting",406
"rangoons",405
"buffets",404
"cabbage",404
"finish",401
"tasteless",401
"hill",400
"affordable",399
"mom",399
"cafe",398
"complaint",398
"hong",397
"45",396
"box",396
"visiting",396
"cash",394
"means",394
"single",394
"potstickers",392
"fortune",391
"set",390
"won",390
"consistent",388
"gem",388
"mine",387
"nicely",385
"kong",384
"credit",383
"beautiful",382
"shared",381
"fare",380
"forgot",380
"total",380
"campus",379
"employees",379
"crowded",378
"outstanding",378
"peanut",378
"seasoned",378
"sick",378
"satisfied",376
"heavy",373
"limited",373
"25",372
"korean",372
"onion",371
"month",370
"cantonese",368
"overcooked",368
"picked",367
"sashimi",365
"grill",364
"overpriced",362
"stickers",361
"coconut",360
"minute",360
"east",359
"glass",359
"lack",359
"crisp",358
"raw",358
"avoid",357
"california",357
"mention",356
"pleasantly",355
"wide",355
"normal",353
"carrots",352
"inn",352
"version",352
"mushroom",351
"polite",351
"soba",351
"sprouts",349
"tough",349
"wine",349
"incredibly",348
"walking",347
"wings",346
"college",345
"mentioned",345
"neighborhood",345
"11",343
"daughter",343
"happened",343
"basic",342
"bites",342
"greeted",342
"future",341
"multiple",341
"crazy",340
"expectations",340
"fancy",340
"lobster",338
"music",337
"par",336
"takes",336
"weekend",336
"hostess",335
"typically",334
"treat",332
"strip",331
"comfortable",329
"double",329
"breading",328
"lacking",328
"sizes",328
"surprise",328
"world",328
"container",327
"pizza",327
"split",327
"girl",326
"middle",326
"vegan",325
"honey",324
"indian",324
"returning",324
"40",323
"tsos",323
"road",322
"serves",322
"sliced",322
"waste",322
"的",322
"joint",321
"pleased",321
"thinking",321
"50",320
"chose",320
"convenient",320
"finished",319
"homemade",319
"meh",319
"msg",318
"extensive",317
"foo",317
"prompt",317
"son",317
"champaign",316
"massage",316
"missing",316
"mood",316
"beer",315
"chinatown",315
"grab",315
"kick",315
"kinda",314
"plain",314
